objectid,filename,title,creator,date,source,identifier,type,format
gbby-45g297,http://archives.nd.edu/Bagby/GBBY-45g297.jpg,GBBY 45G/297: Band Conductor - Notre Dame Band on Football Field - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g297.jpg,gbby-45g297,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g298,http://archives.nd.edu/Bagby/GBBY-45g298.jpg,GBBY 45G/298: Notre Dame Marching Band at Football Games - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g298.jpg,gbby-45g298,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g299,http://archives.nd.edu/Bagby/GBBY-45g299.jpg,GBBY 45G/299: Notre Dame Football Mascot on Sidelines (Irish Setter Dog) - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g299.jpg,gbby-45g299,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g300,http://archives.nd.edu/Bagby/GBBY-45g300.jpg,GBBY 45G/300: Football Cheerleaders - c1933,University of Notre Dame Archives,1933,http://archives.nd.edu/Bagby/GBBY-45g300.jpg,gbby-45g300,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g301,http://archives.nd.edu/Bagby/GBBY-45g301.jpg,GBBY 45G/301: Child on Notre Dame Stadium Field with Football - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g301.jpg,gbby-45g301,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g302,http://archives.nd.edu/Bagby/GBBY-45g302.jpg,GBBY 45G/302: Monogram Club Absurdities?: Man in Gorilla Suit - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g302.jpg,gbby-45g302,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g303,http://archives.nd.edu/Bagby/GBBY-45g303.jpg,GBBY 45G/303: Monogram Club Absurdities?: Unidentified Priest - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g303.jpg,gbby-45g303,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g304,http://archives.nd.edu/Bagby/GBBY-45g304.jpg,"GBBY 45G/304: Fr Matthew Walsh, James Burns Commencement, Liturgy? - 1927",University of Notre Dame Archives,1927,http://archives.nd.edu/Bagby/GBBY-45g304.jpg,gbby-45g304,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g305,http://archives.nd.edu/Bagby/GBBY-45g305.jpg,GBBY 45G/305: Main Quad - Front of Sacred Heart Church Basilica with Snow - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g305.jpg,gbby-45g305,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g306,http://archives.nd.edu/Bagby/GBBY-45g306.jpg,GBBY 45G/306: Commencement Speaker? in Cap and Gown - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g306.jpg,gbby-45g306,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g307,http://archives.nd.edu/Bagby/GBBY-45g307.jpg,GBBY 45G/307: Presidents Day Ceremony - Washington Hall - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g307.jpg,gbby-45g307,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g308,http://archives.nd.edu/Bagby/GBBY-45g308.jpg,GBBY 45G/308: Commencement - Flag Raising - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g308.jpg,gbby-45g308,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g309,http://archives.nd.edu/Bagby/GBBY-45g309.jpg,GBBY 45G/309: Main Quad - Sacred Heart Statue - Students - Dome - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g309.jpg,gbby-45g309,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g310,http://archives.nd.edu/Bagby/GBBY-45g310.jpg,GBBY 45G/310: Main Quad Trees: Campus Scenic with Snow - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g310.jpg,gbby-45g310,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g311,http://archives.nd.edu/Bagby/GBBY-45g311.jpg,GBBY 45G/311: Grotto - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g311.jpg,gbby-45g311,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g312,http://archives.nd.edu/Bagby/GBBY-45g312.jpg,GBBY 45G/312: Campus Dances - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g312.jpg,gbby-45g312,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g313,http://archives.nd.edu/Bagby/GBBY-45g313.jpg,GBBY 45G/313: Campus Dances - c1930s,University of Notre Dame Archives,1930s,http://archives.nd.edu/Bagby/GBBY-45g313.jpg,gbby-45g313,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g314,http://archives.nd.edu/Bagby/GBBY-45g314.jpg,GBBY 45G/314: Football Player: Joseph (Joe) Savoldi - c1928-1930,University of Notre Dame Archives,1928-1930,http://archives.nd.edu/Bagby/GBBY-45g314.jpg,gbby-45g314,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g315,http://archives.nd.edu/Bagby/GBBY-45g315.jpg,GBBY 45G/315: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g315.jpg,gbby-45g315,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g316,http://archives.nd.edu/Bagby/GBBY-45g316.jpg,GBBY 45G/316: Football Player: Donald Miller - c1922-1924,University of Notre Dame Archives,1922-1924,http://archives.nd.edu/Bagby/GBBY-45g316.jpg,gbby-45g316,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g317,http://archives.nd.edu/Bagby/GBBY-45g317.jpg,GBBY 45G/317: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g317.jpg,gbby-45g317,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g318,http://archives.nd.edu/Bagby/GBBY-45g318.jpg,GBBY 45G/318: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g318.jpg,gbby-45g318,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g319,http://archives.nd.edu/Bagby/GBBY-45g319.jpg,GBBY 45G/319: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g319.jpg,gbby-45g319,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g320,http://archives.nd.edu/Bagby/GBBY-45g320.jpg,GBBY 45G/320: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g320.jpg,gbby-45g320,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g321,http://archives.nd.edu/Bagby/GBBY-45g321.jpg,GBBY 45G/321: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g321.jpg,gbby-45g321,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g322,http://archives.nd.edu/Bagby/GBBY-45g322.jpg,GBBY 45G/322: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g322.jpg,gbby-45g322,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g323,http://archives.nd.edu/Bagby/GBBY-45g323.jpg,GBBY 45G/323: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g323.jpg,gbby-45g323,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g324,http://archives.nd.edu/Bagby/GBBY-45g324.jpg,GBBY 45G/324: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g324.jpg,gbby-45g324,Image;StillImage;Glassplatenegative,image/jpeg
